trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
739,False,"{'a': 0.5, 'e': 0.052026607946042414}",20,16,8.870853525231869,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.5, 'e': 0.05181891717272583}",30,16,21.442951069439854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 0.05161205550318949}",30,16,25.597591852051988,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 0.051406019627642255}",30,13,35.29354545737789,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.5, 'e': 0.05120080624950572}",35,15,-25.127304333538174,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
744,False,"{'a': 0.5, 'e': 0.050996412085361466}",25,11,24.412234379543186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.5, 'e': 0.0507928338648985}",25,15,19.48396371762145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.5, 'e': 0.05059006833086096}",20,12,15.774750874120793,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.5, 'e': 0.05038811223899596}",20,0,-4.044502952816304,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
748,False,"{'a': 0.5, 'e': 0.050186962358001734}",30,15,28.5352615305242,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.5, 'e': 0.049986615469475894}",20,13,14.33817092918839,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.5, 'e': 0.049787068367863944}",30,18,22.847025790313126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.5, 'e': 0.049588317860408}",25,8,-19.909202114116674,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
752,False,"{'a': 0.5, 'e': 0.049390360767095715}",30,13,35.64498507081681,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 0.04919319392060936}",20,12,0.4254009200567628,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
754,False,"{'a': 0.5, 'e': 0.0489968141662752}",25,6,-8.334971314998644,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
755,False,"{'a': 0.5, 'e': 0.04880121836201296}",30,20,15.802232031648185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.5, 'e': 0.048606403378285604}",25,20,10.724905374608547,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.5, 'e': 0.04841236609804924}",20,10,18.812875329194682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
